linetype	xmin	xmax	key	showSelected1	showSelected2	showSelected3	PANEL	group
0	43449.894	43451.105	43449894 43451105	-3.4	-1.7250450381836	correct	1	3
0	43451.457	43455.122	43451457 43455122	-3.4	-1.7250450381836	correct	1	5
0	43448.817	43449.759	43448817 43449759	-3.4	-0.812657524285237	correct	1	1
0	43449.894	43451.105	43449894 43451105	-3.4	-0.812657524285237	correct	1	3
0	43451.457	43455.122	43451457 43455122	-3.4	-0.812657524285237	correct	1	5
0	43448.817	43449.759	43448817 43449759	-3.4	-0.187041053679869	correct	1	1
0	43449.894	43451.105	43449894 43451105	-3.4	-0.187041053679869	correct	1	3
0	43451.457	43455.122	43451457 43455122	-3.4	-0.187041053679869	correct	1	5
0	43448.817	43449.759	43448817 43449759	-3.4	0.60830916989523	correct	1	1
0	43449.894	43451.105	43449894 43451105	-3.4	0.60830916989523	correct	1	3
0	43451.457	43455.122	43451457 43455122	-3.4	0.60830916989523	correct	1	5
0	43448.817	43449.759	43448817 43449759	-3.4	1.26523715330971	correct	1	1
0	43449.894	43451.105	43449894 43451105	-3.4	1.26523715330971	correct	1	3
0	43451.457	43455.122	43451457 43455122	-3.4	1.26523715330971	correct	1	5
0	43448.817	43449.759	43448817 43449759	-3.4	1.6361675292926	correct	1	1
0	43449.894	43451.105	43449894 43451105	-3.4	1.6361675292926	correct	1	3
0	43451.457	43455.122	43451457 43455122	-3.4	1.6361675292926	correct	1	5
0	43448.817	43449.759	43448817 43449759	-3.4	2.35283511716953	correct	1	1
0	43449.894	43451.105	43449894 43451105	-3.4	2.35283511716953	correct	1	3
0	43451.457	43455.122	43451457 43455122	-3.4	2.35283511716953	correct	1	5
0	43448.817	43449.759	43448817 43449759	-3.4	3.85202555736225	correct	1	1
0	43449.894	43451.105	43449894 43451105	-3.4	3.85202555736225	correct	1	3
